wvlng	cf 1	basel	cf 2	cf 3
425,00	2,953	0,000	0,781	3,088
424,00	2,954	0,000	0,770	3,088
423,00	2,950	0,000	0,761	3,085
422,00	2,948	0,000	0,755	3,083
421,00	2,950	0,000	0,750	3,081
420,00	2,947	0,000	0,747	3,082
419,00	2,947	0,000	0,745	3,084
418,00	2,948	0,000	0,744	3,078
417,00	2,945	0,000	0,744	3,078
416,00	2,869	0,000	0,743	2,963
415,00	2,867	0,000	0,742	2,959
414,00	2,865	0,000	0,739	2,959
413,00	2,864	0,000	0,736	2,958
412,00	2,862	0,000	0,730	2,957
411,00	2,864	0,000	0,724	2,958
410,00	2,860	0,000	0,716	2,957
409,00	2,864	0,000	0,707	2,955
408,00	2,860	0,000	0,697	2,953
407,00	2,859	0,000	0,686	2,955
406,00	2,860	0,000	0,675	2,954
405,00	2,861	0,000	0,664	2,953
404,00	2,859	0,000	0,652	2,953
403,00	2,860	0,000	0,642	2,951
402,00	2,857	0,000	0,632	2,952
401,00	2,860	0,000	0,623	2,950
400,00	2,857	0,000	0,616	2,947
399,00	2,857	0,000	0,609	2,947
398,00	2,859	0,000	0,604	2,946
397,00	2,857	0,000	0,601	2,947
396,00	2,856	0,000	0,599	2,945
395,00	2,856	0,000	0,598	2,945
394,00	2,854	0,000	0,598	2,946
393,00	2,854	0,000	0,598	2,946
392,00	2,855	0,000	0,600	2,946
391,00	2,854	0,000	0,602	2,946
390,00	2,854	0,000	0,604	2,943
389,00	2,853	0,000	0,607	2,942
388,00	2,857	0,000	0,610	2,942
387,00	2,855	0,000	0,613	2,944
386,00	2,852	0,000	0,617	2,943
385,00	2,855	0,000	0,621	2,941
384,00	2,850	0,000	0,625	2,942
383,00	2,852	0,000	0,629	2,942
382,00	2,851	0,000	0,633	2,944
381,00	2,852	0,000	0,638	2,943
380,00	2,850	0,000	0,644	2,942
379,00	2,851	0,000	0,649	2,943
378,00	2,851	0,000	0,653	2,941
377,00	2,851	0,000	0,658	2,942
376,00	2,853	0,000	0,662	2,942
375,00	2,851	0,000	0,665	2,945
374,00	2,846	0,000	0,667	2,941
373,00	2,845	0,000	0,669	2,943
372,00	3,188	0,000	0,670	3,335
371,00	3,180	0,000	0,671	3,335
370,00	3,184	0,000	0,672	3,336
369,00	3,175	0,000	0,672	3,333
368,00	3,177	0,000	0,671	3,327
367,00	3,177	0,000	0,672	3,325
366,00	3,175	0,000	0,672	3,320
365,00	3,165	0,001	0,673	3,322
364,00	3,163	0,000	0,674	3,319
363,00	3,165	0,000	0,675	3,318
362,00	3,159	0,000	0,676	3,312
361,00	3,162	0,000	0,678	3,310
360,00	3,165	0,000	0,680	3,313
359,00	3,162	0,000	0,682	3,307
358,00	3,159	0,000	0,685	3,304
357,00	3,156	0,001	0,688	3,302
356,00	3,157	0,000	0,691	3,304
355,00	3,154	0,001	0,695	3,296
354,00	3,158	0,000	0,700	3,295
353,00	3,152	0,000	0,704	3,296
352,00	3,154	0,000	0,711	3,297
351,00	3,154	0,000	0,717	3,293
350,00	3,150	0,000	0,725	3,290
349,00	3,151	0,000	0,733	3,292
348,00	3,154	0,000	0,742	3,291
347,00	3,148	0,000	0,752	3,294
346,00	3,149	0,000	0,763	3,287
345,00	3,153	0,000	0,775	3,296
344,00	3,153	0,000	0,788	3,289
343,00	3,150	0,000	0,801	3,290
342,00	3,152	0,000	0,815	3,285
341,00	3,153	0,000	0,830	3,283
340,00	3,153	0,000	0,844	3,283
339,00	3,153	0,000	0,859	3,285
338,00	3,151	0,000	0,873	3,285
337,00	3,149	0,000	0,888	3,289
336,00	3,155	0,000	0,903	3,284
335,00	3,150	0,000	0,917	3,291
334,00	3,151	0,000	0,931	3,292
333,00	3,153	0,000	0,944	3,288
332,00	3,151	0,000	0,956	3,285
331,00	3,154	0,000	0,967	3,293
330,00	3,154	0,000	0,977	3,290
329,00	3,155	0,000	0,985	3,293
328,00	3,162	0,000	0,992	3,288
327,00	3,157	0,001	0,999	3,293
326,00	3,166	0,001	1,005	3,300
325,00	3,165	0,000	1,009	3,302
324,00	3,168	0,000	1,013	3,299
323,00	3,145	0,000	1,019	3,296
322,00	3,148	0,000	1,023	3,297
321,00	3,157	0,000	1,026	3,303
320,00	3,158	0,000	1,028	3,305
319,00	3,153	0,000	1,029	3,310
318,00	3,167	0,000	1,030	3,304
317,00	3,158	0,000	1,030	3,311
316,00	3,166	0,000	1,029	3,310
